gene_id,vespula_Diseased_1,vespula_Diseased_2,vespula_Diseased_3,vespula_Healthy_1,vespula_Healthy_2,vespula_Healthy_3
FUN_003280,1045,726,1009,1216,1159,39
FUN_003287,6,10,3,27,15,3
FUN_003286,0,7,0,11,9,0
FUN_003285,67,95,139,94,127,36
FUN_003284,277,555,651,424,439,38
FUN_005942,58,39,37,27,37,6
FUN_011428,0,46,0,0,104,11
FUN_003289,1,0,2,2,3,0
FUN_003288,0,3,0,0,0,0
FUN_010822,112,117,271,182,324,16
FUN_015640,0,0,0,0,0,0
FUN_015641,2,0,0,5,7,17
FUN_012397,932,910,1184,1026,798,51
FUN_015643,30,18,37,43,40,0
FUN_015644,31,29,35,185,55,26
FUN_015645,66,61,78,43,45,7
FUN_015646,924,1043,1217,975,1168,39
FUN_015647,30,7,24,7,19,0
FUN_015648,79,45,52,35,26,0
FUN_015649,42,6,27,6,6,0
FUN_010820,0,0,0,0,0,0
FUN_011053,18,0,8,0,0,0
FUN_006079,0,0,0,2,0,0
FUN_002526,0,0,0,0,0,0
FUN_011425,250,192,241,528,407,47
FUN_006073,0,0,0,0,0,0
FUN_007001,48,35,61,70,59,29
FUN_006071,0,0,0,0,0,0
FUN_006070,0,0,0,0,0,0
FUN_006077,0,0,0,0,0,0
FUN_006076,0,0,0,0,0,0
FUN_006075,0,0,0,0,0,0
FUN_006074,0,0,0,0,0,0
FUN_004493,2,0,0,0,5,0
FUN_003297,686,474,959,378,633,98
FUN_011057,13,43,27,40,33,0
FUN_004320,0,0,3,0,1,4
FUN_003290,8,2,0,29,19,0
FUN_011056,1423,1981,2885,1757,2173,437
FUN_003443,8,0,5,11,24,2
FUN_016338,386,272,308,306,193,4
FUN_005890,0,0,0,0,0,0
FUN_004322,0,0,0,0,0,0
FUN_010829,10,9,14,3,7,0
FUN_010501,836,828,992,1318,1295,1319
FUN_004325,0,0,0,0,2,0
FUN_003293,119,103,119,179,84,6
FUN_003036,0,0,0,0,0,0
FUN_004324,0,6,0,0,0,10
FUN_010503,6082,3918,4471,4612,3073,150
FUN_004327,417,390,646,414,399,24
FUN_013537,0,3,3,2,0,0
FUN_007009,58,43,53,102,64,9
FUN_003446,84,118,144,204,183,48
FUN_005895,3,0,0,0,0,0
FUN_003449,5,5,5,5,6,21
FUN_003032,0,0,0,0,0,0
FUN_003448,1295,896,1381,1930,1224,391
FUN_011461,68,50,103,107,115,50
FUN_010507,1577,1489,1594,1715,1568,1690
FUN_005140,239,268,351,433,365,272
FUN_015678,295,365,419,321,357,28
FUN_014669,0,0,0,0,0,0
FUN_014668,6,14,22,35,12,2
FUN_012012,0,1,0,0,0,3
FUN_005141,2222,1591,1972,2266,1644,123
FUN_014661,0,0,0,0,0,0
FUN_000314,270,308,351,275,266,9
FUN_014663,0,0,0,0,0,0
FUN_014662,0,0,0,2,0,0
FUN_014665,0,0,0,0,0,0
FUN_014664,0,0,0,0,0,0
FUN_014667,39,78,61,84,40,42
FUN_000315,77,58,92,66,60,4
FUN_007028,1575,1182,1386,1811,1227,78
FUN_015252,444,397,445,328,469,74
FUN_005144,368,329,322,470,406,40
FUN_000317,493,477,523,641,688,116
FUN_000465,0,0,0,0,0,0
FUN_005637,8,5,13,8,4,0
FUN_001308,0,0,0,0,0,0
FUN_015676,4,2,1,1,7,0
FUN_001309,76,84,71,228,69,16
FUN_008179,1,4,4,19,3,10
FUN_007479,341,437,421,670,323,64
FUN_005943,455,465,486,509,526,98
FUN_011943,0,2,6,0,2,0
FUN_011942,0,4,0,0,0,0
FUN_011941,0,0,0,0,0,0
FUN_011940,0,0,0,0,0,0
FUN_011947,481,294,369,171,319,12
FUN_011946,923,940,908,530,718,137
FUN_011945,428,342,497,246,245,15
FUN_011944,305,170,359,109,216,10
FUN_011949,0,0,0,0,0,0
FUN_011948,0,0,0,0,0,0
FUN_010297,0,0,0,0,0,0
FUN_014235,0,0,0,0,0,0
FUN_002958,28,35,34,85,39,8
FUN_002959,0,0,0,0,0,0
FUN_009548,51,34,52,120,55,72
FUN_009549,45,44,81,121,135,563
FUN_004509,3051,2745,4090,3431,3111,841
FUN_004508,54,19,23,61,45,0
FUN_002950,16,28,20,10,7,0
FUN_007703,3,2,2,16,6,0
FUN_007700,165,133,152,260,175,83
FUN_007701,426,305,452,415,363,56
FUN_007706,2,2,3,11,3,8
FUN_007707,3,0,0,11,3,13
FUN_004503,787,720,930,955,871,46
FUN_007705,7707,4791,7760,7702,8528,293
FUN_008149,21,29,56,49,57,2
FUN_008148,96283,96807,107209,96330,73724,109336
FUN_007850,0,0,0,0,0,0
FUN_007851,0,0,0,0,0,0
FUN_007856,216,26,102,81,111,19
FUN_007857,433,961,915,2222,1981,371
FUN_008419,248,376,65,64,175,36
FUN_007855,85,96,109,164,126,0
FUN_008141,176,285,162,208,182,1
FUN_008416,141,64,102,120,209,9
FUN_008143,791,605,925,740,693,68
FUN_008414,1849,516,4733,339,1348,85
FUN_008413,419,388,576,231,379,62
FUN_017042,6,8,10,7,0,0
FUN_008147,12,20,19,51,17,3
FUN_008146,0,0,3,0,0,0
FUN_015975,3,2,7,6,4,3
FUN_005638,20,19,10,4,7,19
FUN_005639,3,0,2,0,0,24
FUN_013958,21297,18833,22665,27963,29505,7230
FUN_013959,10,0,5,2,9,0
FUN_013956,268,8,14,7,10,5
FUN_013957,31,11,24,17,14,0
FUN_005636,326,253,199,151,184,32
FUN_014275,529,617,889,777,853,521
FUN_005630,493,499,682,1040,845,316
FUN_013953,3831,5944,3434,6853,8128,261
FUN_013950,272,208,258,195,263,177
FUN_014271,56,74,45,115,80,51
FUN_006433,0,0,0,0,0,0
FUN_012566,1,0,0,0,0,0
FUN_008496,0,0,0,0,0,0
FUN_012567,14,20,10,16,22,7
FUN_008495,0,0,0,0,0,0
FUN_017048,185,241,230,279,312,17
FUN_006430,0,0,0,0,0,0
FUN_017049,540,657,727,1084,991,17
FUN_012013,0,0,2,0,0,3
FUN_006437,0,0,0,0,0,0
FUN_006436,0,0,0,0,0,0
FUN_003193,2,5,13,11,4,0
FUN_008175,374,259,442,324,349,142
FUN_001774,452,647,688,557,530,59
FUN_006435,0,0,0,0,0,0
FUN_008490,0,0,0,0,0,0
FUN_013675,1173,871,1283,1132,1429,296
FUN_002814,0,0,0,0,0,0
FUN_015978,24,32,18,23,17,11
FUN_001952,0,0,0,0,0,0
FUN_003192,0,0,0,6,0,2
FUN_006284,165,193,151,229,175,26
FUN_006285,6,0,6,6,5,0
FUN_003159,663,567,944,601,774,102
FUN_009065,306,260,251,254,292,42
FUN_006287,186,72,97,65,88,4
FUN_013420,17,8,7,12,21,33
FUN_007516,297,175,221,209,210,188
FUN_005007,165,159,197,248,133,13
FUN_006280,30,20,32,23,19,41
FUN_007515,444,285,662,444,454,25
FUN_008177,845,678,725,523,439,1374
FUN_006281,3,4,2,0,0,0
FUN_014898,0,0,3,0,0,0
FUN_014899,1,0,0,0,0,0
FUN_009093,0,0,0,0,0,0
FUN_006282,768,799,697,548,590,75
FUN_002641,233,431,823,548,382,76
FUN_014892,500,443,849,924,895,6
FUN_014893,38,38,54,73,83,0
FUN_014890,1099,1523,1813,3343,3423,538
FUN_014891,2021,2019,4696,3625,2890,453
FUN_014896,3,5,0,3,5,16
FUN_014897,55,67,55,73,42,827
FUN_014894,277,164,345,221,322,26
FUN_014895,1033,887,1025,1338,1029,27
FUN_016278,930,499,708,895,689,124
FUN_008880,0,0,0,0,0,0
FUN_009063,130,126,154,115,198,47
FUN_009467,174,218,131,239,253,26
FUN_003152,0,0,0,1,0,0
FUN_009062,618,714,771,798,826,14
FUN_003773,128,127,165,142,123,10
FUN_003772,704,829,1242,1010,1401,100
FUN_003771,347,467,436,582,620,231
FUN_011580,680,753,1131,991,1071,922
FUN_003777,375,356,489,376,307,46
FUN_003776,384,397,521,695,540,144
FUN_003775,860,464,811,593,881,104
FUN_003774,298,285,400,320,318,53
FUN_003157,137,88,113,143,80,3
FUN_003779,185,162,210,494,414,66
FUN_002647,0,2,0,0,0,7
FUN_006289,0,0,0,0,0,0
FUN_000059,15,6,6,7,16,0
FUN_002648,1595,898,1788,2067,3482,757
FUN_002649,23,29,19,11,14,2
FUN_012447,12,17,16,70,41,10
FUN_017126,0,0,3,1,0,0
FUN_012445,72,72,82,310,204,28
FUN_017124,206,194,255,254,179,13
FUN_012443,1628,1723,1754,2714,1954,612
FUN_012334,0,0,0,0,0,0
FUN_012441,72,37,27,11,38,5
FUN_017120,136,103,138,129,121,20
FUN_012339,0,0,0,3,0,0
FUN_012338,0,0,0,0,0,0
FUN_017129,0,0,2,0,0,0
